ID,roi_c_min,roi_c_max,roi_r_min,roi_r_max,roi_length
1371066,66,149,15,98,52
1371128,67,145,44,122,49
1371172,65,156,20,111,58
1371310,66,162,29,125,61
1371446,71,149,29,107,49
1371497,56,150,41,135,59
1371532,66,154,25,113,55
1371623,73,151,23,101,49
1371782,67,158,14,105,58
1372234,67,156,28,117,56
1372278,63,148,26,111,54
1372339,64,154,25,115,57
1372464,66,150,28,112,53
1373375,67,146,22,101,50
1373840,71,151,17,97,51
1373871,59,144,35,120,54
1374045,71,149,31,109,49
1374272,74,147,46,119,46
1374573,61,150,38,127,56
1374769,68,151,32,115,52
1375130,72,141,50,119,44
1375141,63,148,27,112,54
1375209,71,154,20,103,52
1375291,69,148,53,132,50
1375396,72,151,21,100,50
1375433,66,156,23,113,57
1375579,83,168,58,143,54
1375719,66,151,30,115,54
1375760,74,149,28,103,48
1375807,65,139,38,112,47
1375878,61,156,36,131,60
1376060,68,146,39,117,49
1376131,69,148,23,102,50
1376406,66,161,17,112,60
1376707,65,150,23,108,54
1377037,62,150,35,123,55
1377142,62,150,30,118,55
1377332,66,156,31,121,57
1377480,68,152,40,124,53
1377935,69,154,26,111,54
1378165,68,148,30,110,51
1378539,58,157,21,120,62
1378711,69,148,13,92,50
1378845,51,150,27,126,62
1379095,74,147,44,117,46
1379124,63,147,36,120,53
1379138,63,151,23,111,55
1379169,61,144,27,110,52
1379434,63,162,16,115,62
1379616,71,144,20,93,46
1379637,71,155,41,125,53
1379679,81,169,56,144,55
1379706,65,159,17,111,59
1379740,74,147,34,107,46
1379866,66,150,35,119,53
1380029,61,151,18,108,57
1380279,69,148,11,90,50
1380657,68,141,39,112,46
1380670,79,163,59,143,53
1380723,65,149,28,112,53
1380786,56,152,30,126,61
1381146,66,162,20,116,61
1381169,56,156,28,128,63
1381407,69,153,15,99,53
1381410,72,156,28,112,53
1381461,74,147,52,125,46
1381528,66,155,23,112,56
1381857,66,151,42,127,54
1381901,69,143,31,105,47
1382123,57,173,7,123,73
1382291,60,154,29,123,59
1382350,59,150,25,116,58
1382396,72,156,22,106,53
1382405,72,146,37,111,47
1382520,62,147,40,125,54
1382565,67,158,17,108,58
1382598,69,152,14,97,52
1382725,73,151,23,101,49
1382968,67,146,19,98,50
1382971,74,147,37,110,46
1382985,66,155,34,123,56
1383070,66,156,9,99,57
1383307,48,169,29,150,76
1383361,62,158,23,119,61
1383399,66,154,8,96,55
1383438,64,159,15,110,60
1383614,64,147,29,112,52
1383704,66,161,15,110,60
1383922,70,149,39,118,50
1384060,63,148,38,123,54
1384076,63,159,21,117,61
1384102,61,151,32,122,57
1384188,64,149,44,129,54
1384269,51,151,30,130,63
1384439,72,140,37,105,43
1384549,71,145,27,101,47
1384636,66,149,34,117,52
1384755,61,151,48,138,57
1384778,69,154,34,119,54
1384962,64,147,33,116,52
1385061,62,150,32,120,55
1385083,66,151,13,98,54
1385254,70,145,31,106,48
1385357,63,153,34,124,57
1385408,66,154,14,102,55
1385495,66,162,23,119,61
1385512,69,154,11,96,54
1385613,69,154,24,109,54
1385638,68,156,26,114,55
1386090,57,147,39,129,57
1386312,74,148,24,98,47
1386402,67,146,32,111,50
1386601,70,154,33,117,53
1386632,61,146,22,107,54
1386838,64,159,33,128,60
1387158,62,150,31,119,55
1387191,61,155,14,108,59
1387425,61,150,30,119,56
1387510,63,152,24,113,56
1387647,72,139,25,92,42
1387673,60,155,30,125,60
1387696,65,143,30,108,49
1387820,63,153,18,108,57
1388194,69,144,47,122,48
1388228,74,154,23,103,51
1388634,65,144,36,115,50
1388724,70,145,19,94,48
1388769,66,146,40,120,51
1389098,77,145,30,98,43
1389218,58,163,21,126,66
1389233,47,130,51,134,52
1389249,67,141,37,111,47
1389360,74,146,25,97,45
1389474,65,156,36,127,58
1389524,72,146,25,99,47
1389606,63,148,41,126,54
1389895,72,140,24,92,43
1389903,69,141,38,110,45
1389935,64,142,53,131,49
1389967,67,158,30,121,58
1390144,64,144,37,117,51
1390525,65,165,16,116,63
1390896,68,156,32,120,55
1391126,71,151,31,111,51
1391142,66,155,23,112,56
1391155,75,139,29,93,41
1391183,74,146,34,106,45
1391393,59,144,34,119,54
1391944,63,153,28,118,57
1392010,69,142,39,112,46
1392078,67,152,42,127,54
1392182,62,140,41,119,49
1392333,61,160,25,124,62
1392384,63,152,32,121,56
1392423,74,149,49,124,48
1392836,69,141,7,79,45
1392931,68,142,34,108,47
1393197,71,145,45,119,47
1393363,57,145,36,124,55
1393528,67,162,25,120,60
1393833,64,143,32,111,50
1393884,61,167,18,124,67
1393954,63,159,28,124,61
1394003,56,151,38,133,60
1394340,64,144,42,122,51
1394464,62,147,30,115,54
1394586,72,146,30,104,47
1394595,63,157,32,126,59
1394687,66,151,15,100,54
1394998,63,159,34,130,61
1395017,56,145,33,122,56
1395036,58,157,12,111,62
1395080,69,149,31,111,51
1395106,61,156,32,127,60
1395185,69,154,11,96,54
1395244,66,162,19,115,61
1395683,70,159,23,112,56
1395970,64,165,20,121,64
1396195,62,145,43,126,52
1396433,68,156,17,105,55
1396537,70,144,29,103,47
1396760,69,142,60,133,46
1396793,61,149,25,113,55
1397148,48,149,47,148,64
1397300,66,156,24,114,57
1397489,59,153,24,118,59
1397490,74,147,11,84,46
1397509,69,154,24,109,54
1397536,60,154,19,113,59
1397759,70,153,36,119,52
1397961,61,151,26,116,57
1398025,70,145,28,103,48
1398200,70,142,26,98,45
1398238,64,143,36,115,50
1398304,69,154,27,112,54
1398382,66,154,22,110,55
1398485,69,143,36,110,47
1398674,72,156,26,110,53
1399109,66,156,28,118,57
1399191,70,144,42,116,47
1399425,66,157,28,119,58
1399542,72,157,18,103,54
1399555,69,152,23,106,52
1399561,71,154,17,100,52
1399718,69,144,31,106,48
1399721,68,156,26,114,55
1399851,64,159,20,115,60
1399882,72,146,26,100,47
1400002,57,148,30,121,58
1400031,64,142,43,121,49
1400193,66,156,21,111,57
1400204,53,157,14,118,65
1400279,69,153,31,115,53
1400907,62,157,17,112,60
1400934,56,145,41,130,56
1401202,48,128,56,136,51
1401215,74,148,32,106,47
1401231,68,156,15,103,55
1401391,69,153,18,102,53
1401455,63,152,25,114,56
1401461,70,145,33,108,48
1401483,71,154,25,108,52
1401572,66,151,21,106,54
1401771,72,150,26,104,49
1401794,66,149,24,107,52
1401821,68,151,19,102,52
1401954,75,147,48,120,45
1402123,71,159,37,125,55
1402195,72,141,43,112,44
1402329,69,152,25,108,52
1402421,62,157,25,120,60
1402449,71,145,43,117,47
1402492,65,159,30,124,59
1402520,73,147,47,121,47
1402635,61,149,16,104,55
1402760,56,141,45,130,54
1402776,67,147,24,104,51
1402953,50,155,26,131,66
1402968,75,147,30,102,45
1403005,66,150,38,122,53
1403189,58,164,9,115,67
1403446,50,138,21,109,55
1403475,73,151,15,93,49
1403501,70,145,21,96,48
1403519,67,156,29,118,56
1403576,66,160,16,110,59
1403623,68,148,28,108,51
1403659,65,155,17,107,57
1403662,69,153,25,109,53
1403802,77,151,22,96,47
1403815,71,161,20,110,57
1403888,61,150,31,120,56
1403896,66,156,22,112,57
1404032,70,145,36,111,48
1404320,66,141,52,127,48
1404412,69,154,20,105,54
1404518,68,148,36,116,51
1404533,69,157,33,121,55
1404566,69,153,33,117,53
1404622,64,143,41,120,50
1404923,67,146,28,107,50
1405010,60,149,39,128,56
1405034,61,150,28,117,56
1405151,60,144,41,125,53
1405646,63,157,14,108,59
1405772,66,154,27,115,55
1405863,72,141,26,95,44
1406067,71,156,32,117,54
1406149,71,149,29,107,49
1406226,71,151,16,96,51
1406368,66,161,21,116,60
1406562,61,160,19,118,62
1406676,67,152,61,146,54
1407027,68,146,21,99,49
1407136,70,145,16,91,48
1407295,52,153,31,132,64
1407328,61,160,22,121,62
1407419,66,150,25,109,53
1407507,67,158,24,115,58
1407599,66,160,20,114,59
1407631,74,149,10,85,48
1407696,65,150,42,127,54
1407804,72,151,17,96,50
1407820,60,143,29,112,52
1408127,65,156,11,102,58
1408228,73,151,36,114,49
1408479,69,142,21,94,46
1408515,59,153,22,116,59
1408588,65,149,27,111,53
1408775,74,162,9,97,55
1408825,59,148,33,122,56
1408992,68,146,47,125,49
1409082,68,151,19,102,52
1409142,65,156,20,111,58
1409218,62,141,32,111,50
1409266,66,154,34,122,55
1409513,68,151,29,112,52
1409606,58,157,18,117,62
1409612,61,151,23,113,57
1409788,69,153,19,103,53
1409859,60,145,44,129,54
1409935,66,157,30,121,58
1409956,67,150,14,97,52
1409989,72,157,19,104,54
1410053,68,153,44,129,54
1410230,67,150,37,120,52
1410766,62,153,22,113,58
1411227,72,150,27,105,49
1411400,62,152,43,133,57
1411608,74,149,17,92,48
1411850,73,177,50,154,65
1411888,65,149,19,103,53
1411958,63,157,16,110,59
1411974,72,146,29,103,47
1412118,68,141,42,115,46
1412133,61,140,41,120,50
1412149,71,159,22,110,55
1412170,67,145,41,119,49
1412255,67,145,30,108,49
1412394,66,151,26,111,54
1412488,58,154,28,124,61
1412559,57,140,34,117,52
1412838,68,146,36,114,49
1413050,70,142,44,116,45
1413064,61,157,22,118,61
1413101,69,152,32,115,52
1413160,77,144,25,92,42
1413324,74,154,14,94,51
1413545,73,151,45,123,49
1413910,64,147,35,118,52
1413978,62,151,30,119,56
1414045,60,150,23,113,57
1414127,61,145,36,120,53
1414153,59,139,41,121,51
1414171,63,153,23,113,57
1414341,56,150,38,132,59
1414465,64,149,21,106,54
1414550,66,151,28,113,54
1415274,74,146,38,110,45
1415302,69,153,25,109,53
1415364,69,149,44,124,51
1415457,69,168,18,117,62
1415611,62,152,30,120,57
1415667,72,156,17,101,53
1415748,68,142,30,104,47
1415971,68,152,43,127,53
1416164,71,159,28,116,55
1416281,63,168,21,126,66
1416379,67,156,19,108,56
1416440,58,168,15,125,69
1416584,72,156,24,108,53
1416691,69,152,36,119,52
1416828,68,148,42,122,51
1416872,77,162,61,146,54
1416914,62,156,27,121,59
1416986,69,148,50,129,50
1417016,67,152,29,114,54
1417134,70,143,46,119,46
1417183,66,146,41,121,51
1417199,67,145,36,114,49
1417218,60,143,39,122,52
1417221,72,151,18,97,50
1417266,62,150,31,119,55
1417270,65,159,21,115,59
1417360,63,143,37,117,51
1417606,66,156,35,125,57
1417956,65,138,51,124,46
1417972,63,153,36,126,57
1418083,76,133,21,78,36
1418260,77,151,62,136,47
1418408,64,153,31,120,56
1418459,61,155,26,120,59
1418462,68,162,29,123,59
1418594,68,156,13,101,55
1418817,69,159,21,111,57
1418863,66,156,34,124,57
1419077,64,153,33,122,56
1419169,71,140,25,94,44
1419215,57,147,33,123,57
1419247,63,141,46,124,49
1419407,60,155,34,129,60
1419478,69,148,28,107,50
1419698,66,146,37,117,51
1419818,63,164,14,115,64
1419821,60,160,20,120,63
1419849,63,157,13,107,59
1419866,62,157,34,129,60
1419932,71,154,30,113,52
1420112,74,146,27,99,45
1420244,61,160,14,113,62
1420362,66,141,49,124,48
1420479,64,159,28,123,60
1420626,60,164,3,107,65
1420724,66,161,23,118,60
1420746,74,147,34,107,46
1420752,71,151,33,113,51
1421097,70,149,32,111,50
1421162,65,140,44,119,48
1421258,57,151,30,124,59
1421291,67,146,28,107,50
1421470,61,141,20,100,51
1421807,68,151,15,98,52
1422008,69,147,30,108,49
1422374,61,150,44,133,56
1422572,54,155,34,135,64
1422771,67,158,0,91,58
1422849,63,157,7,101,59
1422901,67,142,57,132,48
1422932,66,151,25,110,54
1423083,72,141,47,116,44
1423143,72,140,31,99,43
1423254,69,154,33,118,54
1423366,62,151,31,120,56
1423462,65,153,31,119,55
1423477,55,143,30,118,55
1423506,66,160,22,116,59
1423600,67,146,27,106,50
1423652,59,150,34,125,58
1423772,70,145,15,90,48
1423891,69,152,30,113,52
1423996,71,145,47,121,47
1424136,68,156,19,107,55
1424158,68,151,31,114,52
1424191,58,146,31,119,55
1424328,48,147,29,128,62
1424454,67,150,30,113,52
1424476,69,153,30,114,53
1424510,66,156,13,103,57
1425268,74,148,29,103,47
1425469,74,148,18,92,47
1426126,65,140,49,124,48
1426199,71,149,27,105,49
1426233,63,167,8,112,65
1426387,53,153,38,138,63
1426653,65,159,30,124,59
1427213,62,153,24,115,58
1427246,66,149,9,92,52
1427439,66,146,41,121,51
1427557,71,154,8,91,52
1427710,65,165,26,126,63
1427778,77,141,41,105,41
1428119,60,145,29,114,54
1428176,72,152,38,118,51
1428237,59,154,30,125,60
1428352,68,151,19,102,52
1428545,56,151,42,137,60
1428574,66,149,26,109,52
1428759,66,151,22,107,54
1428762,62,157,18,113,60
1428839,62,157,23,118,60
1429278,71,151,40,120,51
1429339,66,149,15,98,52
1429508,64,154,24,114,57
1430034,68,151,18,101,52
1430225,68,152,31,115,53
1430392,66,154,33,121,55
1430459,61,160,15,114,62
1430624,60,143,48,131,52
1430845,66,154,35,123,55
1430902,64,149,24,109,54
1430973,61,151,30,120,57
1431118,66,157,18,109,58
1431226,57,146,26,115,56
1431353,60,151,22,113,58
1431687,66,151,23,108,54
1431717,69,152,32,115,52
1431722,61,149,48,136,55
1431791,69,154,12,97,54
1431979,66,156,32,122,57
1432049,61,141,49,129,51
1432144,71,151,29,109,51
1432227,73,151,18,96,49
1432383,62,158,14,110,61
1432751,64,149,14,99,54
1432864,60,145,32,117,54
1432963,66,149,28,111,52
1433046,66,146,28,108,51
1433433,71,150,41,120,50
1433466,70,143,27,100,46
1433565,58,164,18,124,67
1433582,66,146,41,121,51
1433842,55,146,31,122,58
1434020,61,149,49,137,55
1434037,64,148,25,109,53
1434051,66,170,6,110,65
1434249,70,145,13,88,48
1434284,63,167,12,116,65
1434524,63,151,18,106,55
1434538,66,149,29,112,52
1434612,66,156,25,115,57
1434956,69,143,35,109,47
1435073,67,152,32,117,54
1435313,70,150,27,107,51
1435381,58,152,27,121,59
1436008,53,158,20,125,66
1436062,58,162,16,120,65
1436215,64,154,39,129,57
1436426,71,139,37,105,43
1436821,63,162,9,108,62
1436884,62,169,18,125,68
1436925,59,147,30,118,55
1437022,72,146,13,87,47
1437359,66,146,40,120,51
1437395,66,160,15,109,59
1437661,68,151,26,109,52
1437738,71,159,29,117,55
1437984,69,154,18,103,54
1438053,67,163,10,106,61
1438071,72,151,33,112,50
1438136,65,169,12,116,65
1438419,63,153,28,118,57
1438534,63,162,14,113,62
1438561,69,149,34,114,51
1438721,67,141,47,121,47
1438804,65,144,46,125,50
1439019,64,148,34,118,53
1439584,70,145,26,101,48
1439663,64,154,29,119,57
1439710,69,148,30,109,50
1439835,68,147,36,115,50
1439844,65,159,23,117,59
1439914,68,157,32,121,56
1439977,63,167,9,113,65
1440227,63,142,41,120,50
1440307,57,167,12,122,69
1440361,59,148,34,123,56
1440519,63,142,35,114,50
1440554,68,152,36,120,53
1440614,67,152,26,111,54
1440922,63,151,24,112,55
1441218,69,154,33,118,54
1441764,79,143,55,119,41
1441935,68,151,26,109,52
1442116,72,139,30,97,42
1442321,63,152,20,109,56
1442477,66,154,20,108,55
1442638,71,149,22,100,49
1442789,57,147,34,124,57
1442809,58,149,44,135,58
1442858,61,160,32,131,62
1442929,69,148,26,105,50
1443124,69,152,21,104,52
1443231,62,142,22,102,51
1443247,61,167,24,130,67
1443544,59,163,26,130,65
1443954,61,149,33,121,55
1444242,73,151,19,97,49
1444385,52,156,30,134,65
1444488,76,140,40,104,41
1444619,66,151,34,119,54
1444791,64,148,32,116,53
1444881,75,153,40,118,49
1444916,57,147,39,129,57
1445080,66,151,34,119,54
1445168,61,144,44,127,52
1445420,66,146,27,107,51
1445482,59,154,19,114,60
1445515,50,155,25,130,66
1445564,68,162,18,112,59
1445683,61,162,27,128,64
1445738,64,152,49,137,55
1445848,66,151,53,138,54
1445893,67,152,33,118,54
1445992,62,153,21,112,58
1446130,66,149,19,102,52
1446222,66,149,33,116,52
1446433,71,144,23,96,46
1446484,65,143,21,99,49
1446565,52,148,32,128,61
1446701,62,153,21,112,58
1446807,61,150,30,119,56
1447050,64,149,14,99,54
1447096,69,153,17,101,53
1447522,63,148,36,121,54
1447536,57,147,43,133,57
1447558,56,145,36,125,56
1447762,67,145,41,119,49
1447806,61,160,17,116,62
1448115,70,145,41,116,48
1448246,57,147,34,124,57
1448275,69,159,30,120,57
1448412,66,154,20,108,55
1448636,66,156,27,117,57
1448710,63,152,25,114,56
1448778,69,138,48,117,44
1448856,66,156,34,124,57
1449174,56,145,37,126,56
1449390,66,156,23,113,57
1449507,61,150,29,118,56
1449555,68,151,29,112,52
1449631,66,162,19,115,61
1449696,66,156,25,115,57
1449757,60,154,19,113,59
1449843,67,157,24,114,57
1449913,64,149,37,122,54
1450288,50,155,31,136,66
1450616,73,157,41,125,53
1450682,53,148,30,125,60
1450706,71,144,30,103,46
1450727,71,144,33,106,46
1450833,64,159,23,118,60
1450884,71,154,24,107,52
1450901,59,134,47,122,48
1450976,62,157,19,114,60
1451027,71,149,33,111,49
1451230,71,145,25,99,47
1451356,66,162,14,110,61
1451476,59,143,41,125,53
1451664,61,135,22,96,47
1451913,67,145,46,124,49
1452045,65,159,37,131,59
1452228,60,160,19,119,63
1452272,63,152,26,115,56
1452550,71,149,31,109,49
1452933,67,147,38,118,51
1453249,66,156,19,109,57
1453393,92,172,61,141,51
1453409,62,151,19,108,56
1453436,70,142,25,97,45
1453668,69,143,28,102,47
1453685,66,145,36,115,50
1453750,63,147,29,113,53
1453859,58,159,21,122,64
1454162,58,143,31,116,54
1454280,69,148,18,97,50
1454291,69,154,25,110,54
1454364,53,141,36,124,55
1454470,61,150,36,125,56
1454611,68,156,15,103,55
1454953,69,152,25,108,52
1455102,69,142,36,109,46
1455281,71,151,44,124,51
1455584,46,150,30,134,65
1455742,69,158,54,143,56
1455962,61,151,31,121,57
1456116,67,146,30,109,50
1456165,63,142,36,115,50
1456225,67,156,27,116,56
1456585,61,145,43,127,53
1456613,64,148,31,115,53
1456669,60,155,39,134,60
1456697,67,150,44,127,52
1456950,67,163,21,117,61
1457057,61,162,15,116,64
1457103,71,149,39,117,49
1457167,48,149,36,137,64
1457240,68,152,32,116,53
1457446,68,140,43,115,45
1457481,65,156,19,110,58
1457497,72,146,25,99,47
1457525,58,148,30,120,57
1457554,66,149,21,104,52
1457587,63,157,15,109,59
1457829,66,151,27,112,54
1457847,57,153,21,117,61
1457896,64,148,28,112,53
1458371,63,169,19,125,67
1458429,44,151,27,134,68
1458431,66,157,29,120,58
1458447,57,147,42,132,57
1458676,67,156,22,111,56
1459002,66,144,34,112,49
1459279,60,144,43,127,53
1459298,60,151,27,118,58
1459444,63,157,24,118,59
1459558,66,160,13,107,59
1459580,71,149,35,113,49
1459714,63,143,44,124,51
1459759,68,156,25,113,55
1459871,69,149,40,120,51
1459942,66,165,29,128,62
1459978,75,154,30,109,50
1460020,69,157,27,115,55
1460082,66,160,28,122,59
1460107,67,152,38,123,54
1460205,66,154,26,114,55
1460233,62,151,38,127,56
1460292,71,161,17,107,57
1460546,71,149,24,102,49
1460640,62,145,42,125,52
1460671,69,154,23,108,54
1460685,69,153,34,118,53
1460715,63,152,39,128,56
1460731,71,140,46,115,44
1460788,68,162,24,118,59
1461216,66,160,21,115,59
1461279,61,156,18,113,60
1461352,55,144,39,128,56
1461558,68,162,21,115,59
1461657,62,140,15,93,49
1461692,63,148,21,106,54
1461714,63,148,37,122,54
1461723,69,154,20,105,54
1461885,69,149,29,109,51
1462060,71,138,28,95,42
1462129,60,140,44,124,51
1462200,69,143,45,119,47
1462213,68,147,34,113,50
1462351,52,153,22,123,64
1462584,63,152,28,117,56
1462658,61,167,16,122,67
1462889,66,155,30,119,56
1463040,58,154,25,121,61
1463401,66,141,43,118,48
1463432,68,148,28,108,51
1463629,69,153,17,101,53
1463673,68,156,19,107,55
1463969,63,157,22,116,59
1464055,64,154,8,98,57
1464321,73,157,39,123,53
1464423,63,153,18,108,57
1464441,66,161,14,109,60
1464613,74,152,15,93,49
1465105,74,148,27,101,47
1465541,55,150,15,110,60
1465562,61,155,25,119,59
1465758,68,164,16,112,61
1465920,62,157,22,117,60
1466185,69,154,13,98,54
1466228,64,154,12,102,57
1466404,62,157,14,109,60
1466443,64,142,51,129,49
1466596,69,157,28,116,55
1466876,71,154,16,99,52
1466970,64,154,13,103,57
1467317,68,147,36,115,50
1467426,62,145,23,106,52
1467567,69,157,15,103,55
1467818,71,151,30,110,51
1468162,56,146,36,126,57
1468236,73,146,29,102,46
1468280,67,157,31,121,57
1468611,65,150,42,127,54
1469049,71,143,39,111,45
1469190,64,149,27,112,54
1469307,66,155,45,134,56
1469326,61,145,51,135,53
1469519,73,142,33,102,44
1469554,69,138,51,120,44
1469864,73,151,21,99,49
1469888,47,146,24,123,62
1469945,66,154,14,102,55
1470141,52,156,14,118,65
1470245,60,154,19,113,59
1470258,57,129,26,98,45
1470603,66,156,65,155,57
1470719,66,156,19,109,57
1470776,63,159,18,114,61
1470899,71,156,34,119,54
1470912,72,156,30,114,53
1471566,69,159,5,95,57
1471707,74,157,21,104,52
1471755,69,148,45,124,50
1471889,69,159,26,116,57
1471941,74,152,31,109,49
1472002,66,154,28,116,55
1472300,56,141,27,112,54
1472338,65,156,22,113,58
1472381,66,157,30,121,58
1472558,74,143,33,102,44
1472894,69,152,47,130,52
1472961,97,198,17,118,64
1473011,67,145,32,110,49
1473090,74,143,28,97,44
1473133,50,171,5,126,76
1473234,67,146,29,108,50
1473339,74,141,30,97,42
1473429,65,153,25,113,55
1473920,71,160,27,116,56
1474231,71,160,23,112,56
1474288,63,151,24,112,55
1474322,67,139,35,107,45
1474363,67,141,47,121,47
1474572,59,154,33,128,60
1474679,59,171,9,121,71
1474727,66,156,27,117,57
1474870,61,156,22,117,60
1474919,62,157,19,114,60
1475012,68,143,26,101,48
1475145,64,143,40,119,50
1475277,69,154,25,110,54
1475372,66,157,39,130,58
1475448,63,152,36,125,56
1475487,66,149,39,122,52
1475733,72,156,5,89,53
1475770,64,148,36,120,53
1475784,76,144,14,82,43
1475981,71,159,30,118,55
1476111,53,148,48,143,60
1476144,66,156,21,111,57
1476167,69,144,41,116,48
1476227,66,151,27,112,54
1476399,66,146,34,114,51
1476779,61,149,35,123,55
1476831,72,156,16,100,53
1476991,69,153,33,117,53
1477034,66,157,27,118,58
1477104,71,154,29,112,52
1477116,70,159,39,128,56
1477305,62,136,24,98,47
1477669,70,143,46,119,46
1477697,57,141,43,127,53
1477767,69,148,20,99,50
1477789,70,144,35,109,47
1477973,68,156,30,118,55
1477988,69,152,24,107,52
1477996,49,143,44,138,59
1478051,74,143,11,80,44
1478082,59,164,9,114,66
1478134,69,154,29,114,54
1478284,66,149,34,117,52
1478332,69,142,24,97,46
1478538,69,142,38,111,46
1478546,67,145,26,104,49
1478627,65,153,40,128,55
1478859,62,158,14,110,61
1478989,74,149,17,92,48
1479009,68,167,20,119,62
1479022,56,146,39,129,57
1479203,61,157,20,116,61
1479290,70,144,27,101,47
1479416,59,153,31,125,59
1479531,72,141,22,91,44
1479642,64,143,44,123,50
1479678,68,153,23,108,54
1479801,66,151,41,126,54
1479876,69,148,29,108,50
1479949,69,152,14,97,52
1480299,66,154,18,106,55
1480312,63,153,35,125,57
1480488,66,154,27,115,55
1480577,69,154,53,138,54
1480648,74,154,12,92,51
1480758,61,152,33,124,58
1480846,69,159,31,121,57
1480869,50,145,29,124,60
1481058,56,162,19,125,67
1481194,59,148,34,123,56
1481244,58,157,15,114,62
1481308,61,151,30,120,57
1481314,71,151,36,116,51
1481362,65,156,22,113,58
1481465,72,157,39,124,54
1481607,67,140,32,105,46
1481775,62,146,33,117,53
1481781,61,144,44,127,52
1481832,63,152,24,113,56
1482094,69,142,46,119,46
1482259,67,158,21,112,58
1482335,67,151,36,120,53
1482534,71,145,32,106,47
1482647,74,146,41,113,45
1482749,65,145,39,119,51
1482816,74,148,42,116,47
1483093,59,159,25,125,63
1483115,65,159,17,111,59
1483337,66,162,25,121,61
1483609,59,144,27,112,54
1483726,66,154,23,111,55
1483783,61,160,20,119,62
1483803,63,157,17,111,59
1484033,60,154,19,113,59
1484240,74,149,14,89,48
1484268,56,152,24,120,61
1484334,72,157,8,93,54
1484361,68,157,21,110,56
1484481,64,154,32,122,57
1484560,69,147,29,107,49
1484677,63,157,24,118,59
1485065,66,161,17,112,60
1485417,65,154,39,128,56
1485422,63,169,13,119,67
1485788,66,161,18,113,60
1485814,76,149,36,109,46
1486015,71,145,27,101,47
1486125,63,153,42,132,57
1486338,74,147,30,103,46
1486403,63,148,37,122,54
1486692,73,151,27,105,49
1486762,67,141,52,126,47
1486806,72,152,32,112,51
1486907,58,147,21,110,56
1486983,68,151,11,94,52
1487013,63,157,27,121,59
1487024,64,164,6,106,63
1487347,63,151,21,109,55
1487388,69,159,24,114,57
1487520,67,147,33,113,51
1487603,75,147,39,111,45
1487672,60,154,24,118,59
1487754,72,145,42,115,46
1487776,62,157,26,121,60
1487826,67,163,23,119,61
1487953,55,155,25,125,63
1487994,61,156,10,105,60
1488247,64,142,46,124,49
1488499,64,147,21,104,52
1488987,73,146,24,97,46
1489120,63,153,31,121,57
1489225,58,138,21,101,51
1489305,69,142,27,100,46
1489462,76,149,12,85,46
1489506,71,159,23,111,55
1489594,66,149,28,111,52
1489613,67,146,20,99,50
1489646,67,152,38,123,54
1489669,72,146,29,103,47
1490494,66,149,30,113,52
1490505,63,153,33,123,57
1490962,64,143,36,115,50
1491232,58,163,24,129,66
1491423,65,138,32,105,46
1491495,72,151,32,111,50
1491772,68,156,12,100,55
1492266,52,153,23,124,64
1492685,59,144,29,114,54
1492773,72,139,31,98,42
1492990,61,139,46,124,49
1493091,68,151,9,92,52
1493290,67,147,38,118,51
1493451,67,156,33,122,56
1493781,63,157,19,113,59
1493797,65,143,44,122,49
1493832,66,149,25,108,52
1493876,59,160,16,117,64
1494220,62,142,28,108,51
1494324,69,142,51,124,46
1494536,71,149,21,99,49
1494649,58,164,17,123,67
1494777,60,148,20,108,55
1494786,54,144,32,122,57
1494871,64,144,46,126,51
1495077,66,144,27,105,49
1495753,62,161,19,118,62
1495849,66,154,31,119,55
1496053,58,149,22,113,58
1496303,61,160,11,110,62
1496401,68,147,43,122,50
1496696,71,154,26,109,52
1497028,65,139,18,92,47
1497149,74,149,35,110,48
1497283,60,143,36,119,52
1497523,61,157,27,123,61
1497998,72,151,22,101,50
1498033,65,150,32,117,54
1498240,63,159,23,119,61
1498355,61,167,4,110,67
1498587,68,146,25,103,49
1498593,71,149,32,110,49
1498641,61,152,28,119,58
1498922,64,154,27,117,57
1499052,60,150,29,119,57
1499177,67,140,27,100,46
1499274,59,147,24,112,55
1499418,62,141,41,120,50
1499421,71,151,38,118,51
1499689,61,157,31,127,61
1499776,69,149,43,123,51
1499861,68,152,37,121,53
1499912,67,158,17,108,58
1499939,60,154,24,118,59
1500046,77,145,29,97,43
1500097,66,165,17,116,62
1500186,67,156,15,104,56
1500291,66,149,29,112,52
1500994,63,157,21,115,59
1501213,71,156,40,125,54
1501275,56,155,15,114,62
1501406,49,149,41,141,63
1501453,69,152,25,108,52
1501549,71,145,28,102,47
1501570,69,157,31,119,55
1501636,62,150,16,104,55
1501658,66,161,11,106,60
1501691,59,147,41,129,55
1501761,64,159,18,113,60
1501803,76,144,16,84,43
1502029,58,147,39,128,56
1502160,57,147,40,130,57
1502279,70,145,22,97,48
1502375,73,137,54,118,41
1502397,62,157,21,116,60
1502428,35,188,6,159,96
1502621,52,162,12,122,69
1502666,61,167,7,113,67
1502714,65,165,32,132,63
1502926,73,151,36,114,49
1503261,57,151,32,126,59
1503340,71,143,24,96,45
1503431,75,138,33,96,40
1503943,65,144,28,107,50
1504138,63,142,46,125,50
1504273,69,141,35,107,45
1504478,77,151,17,91,47
1504535,66,141,43,118,48
1504794,63,152,38,127,56
1504954,68,151,14,97,52
